公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
德力股份,2017-12-31,1.26亿,-1831万,4559万,9879万,7.96亿
德力股份,2016-12-31,1.86亿,1091万,6175万,1.13亿,8.72亿
铜峰电子,2018-12-31,1.19亿,1520万,3979万,6421万,8.85亿
铜峰电子,2017-12-31,1.34亿,2635万,4195万,6568万,8.13亿
铜峰电子,2016-12-31,1.41亿,2190万,3487万,8402万,5.91亿
恒源煤电,2018-12-31,7.77亿,1.14亿,9790万,5.65亿,59.0亿
恒源煤电,2017-12-31,9.02亿,1.49亿,8550万,6.68亿,65.4亿
恒源煤电,2016-12-31,6.29亿,1.97亿,6875万,3.63亿,46.3亿
马钢股份,2018-12-31,33.0亿,9.60亿,9.60亿,13.8亿,820亿
马钢股份,2017-12-31,30.3亿,9.99亿,8.65亿,11.6亿,732亿
马钢股份,2016-12-31,32.7亿,7.94亿,6.95亿,17.8亿,483亿
华安证券,2018-12-31,--,--,--,--,17.6亿
华安证券,2017-12-31,--,--,--,--,19.2亿
华安证券,2016-12-31,--,--,--,--,17.3亿
聚隆科技,2018-12-31,6094万,-864万,2165万,4793万,3.07亿
聚隆科技,2017-12-31,5638万,-863万,2055万,4447万,4.77亿
聚隆科技,2016-12-31,6761万,-1099万,1910万,5950万,4.81亿
时代出版,2018-12-31,4.97亿,-612万,1.98亿,3.06亿,64.4亿
时代出版,2017-12-31,4.42亿,-368万,1.88亿,2.58亿,66.1亿
时代出版,2016-12-31,4.47亿,-456万,1.74亿,2.78亿,67.7亿
皖通科技,2018-12-31,1.56亿,-194万,4190万,1.16亿,12.5亿
皖通科技,2017-12-31,1.13亿,-241万,3917万,7636万,9.96亿
皖通科技,2016-12-31,1.14亿,-355万,3541万,8181万,9.92亿
科大国创,2018-12-31,1.46亿,175万,7435万,6967万,9.82亿
科大国创,2017-12-31,1.10亿,-99.3万,5688万,5406万,6.08亿
科大国创,2016-12-31,1.55亿,-54.3万,3451万,1.21亿,5.94亿
华茂股份,2018-12-31,3.37亿,1.22亿,8082万,1.34亿,27.8亿
华茂股份,2017-12-31,3.35亿,1.32亿,6268万,1.40亿,23.4亿
华茂股份,2016-12-31,3.14亿,1.20亿,4615万,1.48亿,19.7亿
江淮汽车,2018-12-31,41.2亿,669万,23.4亿,17.7亿,502亿
江淮汽车,2017-12-31,38.4亿,-3845万,22.6亿,16.2亿,492亿
江淮汽车,2016-12-31,65.1亿,-1.07亿,32.8亿,33.4亿,525亿
古井贡酒,2018-12-31,32.8亿,-5157万,26.8亿,6.45亿,86.9亿
古井贡酒,2017-12-31,27.4亿,-2593万,21.7亿,5.91亿,69.7亿
古井贡酒,2016-12-31,25.1亿,-3025万,19.8亿,5.57亿,60.2亿
泰尔股份,2018-12-31,1.41亿,1815万,5730万,6558万,7.46亿
