公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
永福股份,2018-12-31,8221万,707万,2280万,5235万,6.86亿
永福股份,2017-12-31,7672万,1006万,1831万,4834万,5.64亿
永福股份,2016-12-31,8361万,1004万,1652万,5705万,4.45亿
青山纸业,2018-12-31,3.08亿,785万,8894万,2.12亿,28.6亿
青山纸业,2017-12-31,3.39亿,3629万,9201万,2.11亿,26.6亿
青山纸业,2016-12-31,3.13亿,5730万,7642万,1.80亿,22.8亿
红相股份,2018-12-31,1.95亿,1960万,1.10亿,6478万,13.1亿
红相股份,2017-12-31,1.21亿,-95.0万,6718万,5511万,7.44亿
红相股份,2016-12-31,1.15亿,-108万,5478万,6112万,4.11亿
昇兴股份,2018-12-31,2.35亿,3465万,6939万,1.31亿,21.0亿
昇兴股份,2017-12-31,2.10亿,2522万,7226万,1.12亿,20.6亿
昇兴股份,2016-12-31,1.89亿,2146万,6943万,9825万,21.6亿
华映科技,2018-12-31,5.47亿,3.10亿,3599万,2.01亿,45.2亿
华映科技,2017-12-31,3.58亿,1.05亿,2329万,2.30亿,48.9亿
华映科技,2016-12-31,4.89亿,1.06亿,2142万,3.61亿,44.4亿
科华恒盛,2018-12-31,5.89亿,5242万,3.22亿,2.14亿,34.4亿
科华恒盛,2017-12-31,4.63亿,4240万,2.64亿,1.56亿,24.1亿
科华恒盛,2016-12-31,4.58亿,1250万,2.23亿,2.22亿,17.7亿
漳州发展,2018-12-31,3.60亿,2505万,2.04亿,1.31亿,30.7亿
漳州发展,2017-12-31,3.57亿,4637万,1.86亿,1.25亿,27.4亿
漳州发展,2016-12-31,4.24亿,1.04亿,1.97亿,1.23亿,31.4亿
福建水泥,2018-12-31,3.31亿,8513万,5925万,1.87亿,29.5亿
福建水泥,2017-12-31,3.39亿,1.05亿,4585万,1.89亿,18.3亿
福建水泥,2016-12-31,3.81亿,1.17亿,3582万,2.29亿,13.2亿
永悦科技,2018-12-31,3519万,83.1万,2016万,1421万,6.08亿
永悦科技,2017-12-31,3013万,50.2万,1512万,1450万,5.59亿
永悦科技,2016-12-31,4691万,160万,1519万,3012万,5.36亿
瑞尔特,2018-12-31,6672万,-1798万,3956万,4514万,9.94亿
瑞尔特,2017-12-31,8718万,1572万,3436万,3709万,9.17亿
瑞尔特,2016-12-31,9772万,-969万,3049万,7692万,8.17亿
兴业科技,2018-12-31,5793万,-2669万,1487万,6975万,18.1亿
兴业科技,2017-12-31,5403万,-1240万,1099万,5544万,21.1亿
兴业科技,2016-12-31,1.53亿,1853万,1036万,1.24亿,25.7亿
福能股份,2018-12-31,6.38亿,4.07亿,4867万,1.83亿,93.5亿
福能股份,2017-12-31,4.36亿,2.54亿,3705万,1.44亿,68.0亿
福能股份,2016-12-31,4.00亿,2.46亿,3288万,1.20亿,63.6亿
中国武夷,2018-12-31,2.16亿,-8674万,7984万,2.23亿,48.7亿
中国武夷,2017-12-31,3.70亿,1.52亿,6252万,1.55亿,41.7亿
中国武夷,2016-12-31,3.22亿,1.05亿,5019万,1.67亿,25.7亿
平潭发展,2018-12-31,1.59亿,1679万,5824万,8366万,9.35亿
平潭发展,2017-12-31,1.49亿,1428万,5526万,7932万,8.48亿
平潭发展,2016-12-31,1.02亿,-1019万,4960万,6298万,7.86亿
中闽能源,2018-12-31,1.08亿,6474万,--,4370万,5.24亿
中闽能源,2017-12-31,9355万,5664万,--,3691万,5.07亿
中闽能源,2016-12-31,8390万,5297万,--,3093万,3.94亿
冠城大通,2018-12-31,6.10亿,2.33亿,1.51亿,2.25亿,81.1亿
冠城大通,2017-12-31,5.18亿,1.68亿,1.38亿,2.12亿,69.0亿
冠城大通,2016-12-31,5.53亿,1.92亿,1.43亿,2.17亿,61.3亿
清源股份,2018-12-31,1.86亿,6270万,5639万,6740万,9.61亿
清源股份,2017-12-31,1.00亿,1600万,3768万,4654万,7.83亿
清源股份,2016-12-31,1.00亿,186万,3659万,6202万,7.03亿
龙洲股份,2018-12-31,4.92亿,9262万,1.42亿,2.57亿,68.4亿
龙洲股份,2017-12-31,4.34亿,7483万,1.15亿,2.44亿,47.5亿
龙洲股份,2016-12-31,3.09亿,3346万,5634万,2.19亿,23.8亿
纳川股份,2018-12-31,2.64亿,5556万,1.04亿,1.04亿,11.3亿
纳川股份,2017-12-31,2.01亿,1261万,1.03亿,8527万,14.8亿
纳川股份,2016-12-31,2.21亿,2480万,9513万,1.01亿,11.2亿
宁德时代,2018-12-31,26.9亿,-2.80亿,13.8亿,15.9亿,296亿
宁德时代,2017-12-31,21.6亿,4217万,7.96亿,13.2亿,200亿
宁德时代,2016-12-31,28.6亿,8044万,6.32亿,21.5亿,149亿
厦门象屿,2018-12-31,47.4亿,12.3亿,28.9亿,6.08亿,2340亿
厦门象屿,2017-12-31,35.5亿,7.80亿,23.4亿,4.26亿,2033亿
厦门象屿,2016-12-31,24.9亿,6.38亿,15.0亿,3.48亿,1191亿
紫金矿业,2018-12-31,51.1亿,12.5亿,8.87亿,29.6亿,1060亿
紫金矿业,2017-12-31,54.6亿,20.1亿,7.49亿,26.9亿,945亿
紫金矿业,2016-12-31,40.7亿,5.82亿,6.67亿,28.2亿,789亿
华懋科技,2018-12-31,5519万,-1522万,2343万,4698万,9.83亿
华懋科技,2017-12-31,5987万,-1282万,2800万,4469万,9.89亿
华懋科技,2016-12-31,9893万,-853万,2513万,8232万,8.90亿
好利来,2018-12-31,3497万,-103万,968万,2632万,1.77亿
好利来,2017-12-31,3547万,97.6万,1005万,2445万,1.70亿
好利来,2016-12-31,3688万,37.6万,843万,2807万,1.54亿
易联众,2018-12-31,2.28亿,1816万,7093万,1.39亿,7.30亿
易联众,2017-12-31,2.06亿,1652万,6309万,1.26亿,6.26亿
易联众,2016-12-31,2.23亿,67.6万,4414万,1.78亿,5.15亿
麦克奥迪,2018-12-31,1.94亿,-699万,8902万,1.12亿,9.79亿
麦克奥迪,2017-12-31,1.67亿,-377万,7644万,9407万,8.64亿
麦克奥迪,2016-12-31,1.55亿,-1278万,5477万,1.13亿,7.32亿
坤彩科技,2018-12-31,5846万,-886万,4130万,2602万,5.87亿
坤彩科技,2017-12-31,7098万,675万,3224万,3199万,4.69亿
坤彩科技,2016-12-31,6823万,202万,2860万,3761万,4.08亿
延江股份,2018-12-31,1.34亿,146万,8062万,5211万,7.66亿
延江股份,2017-12-31,1.46亿,1793万,7247万,5540万,7.38亿
延江股份,2016-12-31,1.13亿,422万,5136万,5788万,5.99亿
三棵树,2018-12-31,10.3亿,1705万,7.72亿,2.40亿,35.8亿
三棵树,2017-12-31,7.50亿,-310万,5.63亿,1.90亿,26.2亿
三棵树,2016-12-31,7.01亿,-832万,4.85亿,2.25亿,19.5亿
盛屯矿业,2018-12-31,7.08亿,2.94亿,1.40亿,2.74亿,339亿
盛屯矿业,2017-12-31,6.69亿,3.18亿,1.03亿,2.47亿,228亿
盛屯矿业,2016-12-31,4.80亿,2.07亿,6999万,2.03亿,140亿
七 匹 狼,2018-12-31,8.36亿,-2282万,5.95亿,2.64亿,35.2亿
七 匹 狼,2017-12-31,6.22亿,-4611万,4.60亿,2.08亿,30.8亿
七 匹 狼,2016-12-31,6.62亿,-3374万,4.67亿,2.29亿,26.4亿
睿能科技,2018-12-31,1.79亿,1432万,1.04亿,6060万,18.5亿
睿能科技,2017-12-31,1.60亿,-141万,9986万,6147万,19.1亿
