公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
天永智能,2018-12-31,3216万,-724万,1553万,2387万,5.06亿
天永智能,2017-12-31,2917万,-78.2万,1262万,1733万,4.24亿
天永智能,2016-12-31,4737万,-43.0万,1285万,3495万,3.82亿
新文化,2018-12-31,2.14亿,6342万,8383万,6705万,8.06亿
新文化,2017-12-31,1.93亿,4900万,8607万,5809万,12.3亿
新文化,2016-12-31,1.64亿,3384万,7312万,5701万,11.1亿
东方创业,2018-12-31,7.79亿,-782万,5.41亿,2.45亿,167亿
东方创业,2017-12-31,8.05亿,2475万,5.25亿,2.55亿,158亿
东方创业,2016-12-31,7.28亿,-1991万,5.03亿,2.45亿,156亿
荣泰健康,2018-12-31,3.65亿,257万,2.83亿,7894万,23.0亿
荣泰健康,2017-12-31,3.64亿,3112万,2.63亿,6987万,19.2亿
荣泰健康,2016-12-31,2.54亿,-2120万,1.75亿,1.00亿,12.9亿
上海电影,2018-12-31,1.19亿,-1454万,1946万,1.14亿,10.6亿
上海电影,2017-12-31,1.24亿,-533万,2675万,1.03亿,11.2亿
上海电影,2016-12-31,1.02亿,-378万,1937万,8628万,10.5亿
浦东金桥,2018-12-31,1.79亿,6880万,2660万,8376万,27.6亿
浦东金桥,2017-12-31,1.54亿,5098万,2990万,7361万,16.7亿
浦东金桥,2016-12-31,2.13亿,1.09亿,3535万,6907万,14.7亿
上海环境,2018-12-31,3.38亿,1.43亿,--,1.95亿,25.8亿
上海环境,2017-12-31,3.03亿,1.14亿,--,1.88亿,25.7亿
上海环境,2016-12-31,3.59亿,1.38亿,--,2.21亿,25.5亿
三爱富,2018-12-31,1.88亿,-1686万,9834万,1.06亿,16.6亿
三爱富,2017-12-31,4.08亿,6486万,9722万,2.46亿,52.4亿
三爱富,2016-12-31,5.53亿,-70.0万,9814万,4.55亿,47.4亿
兰生股份,2018-12-31,1.44亿,-1854万,6976万,9267万,33.1亿
兰生股份,2017-12-31,1.61亿,-1027万,9707万,7386万,33.4亿
兰生股份,2016-12-31,1.15亿,-5099万,1.01亿,6517万,30.3亿
安硕信息,2018-12-31,8785万,-31.5万,3063万,5753万,5.47亿
安硕信息,2017-12-31,7883万,23.2万,2699万,5161万,5.14亿
安硕信息,2016-12-31,1.38亿,-164万,2436万,1.15亿,4.10亿
古鳌科技,2018-12-31,7315万,-144万,5340万,2119万,2.63亿
古鳌科技,2017-12-31,6855万,223万,4588万,2045万,2.39亿
古鳌科技,2016-12-31,9283万,-66.3万,4444万,4905万,2.63亿
金安国纪,2018-12-31,1.76亿,-4199万,1.16亿,1.02亿,36.8亿
金安国纪,2017-12-31,2.16亿,1201万,1.12亿,9214万,36.8亿
金安国纪,2016-12-31,3.01亿,-812万,1.00亿,2.09亿,30.5亿
安诺其,2018-12-31,1.34亿,224万,5830万,7339万,11.6亿
安诺其,2017-12-31,1.35亿,662万,5500万,7365万,13.3亿
安诺其,2016-12-31,1.63亿,1178万,5481万,9591万,10.0亿
悦心健康,2018-12-31,2.89亿,4056万,1.78亿,7071万,9.78亿
悦心健康,2017-12-31,2.68亿,3978万,1.61亿,6786万,9.00亿
悦心健康,2016-12-31,2.51亿,4569万,1.42亿,6304万,7.78亿
全筑股份,2018-12-31,2.80亿,6793万,4259万,1.70亿,65.2亿
全筑股份,2017-12-31,2.27亿,6436万,3533万,1.27亿,46.3亿
全筑股份,2016-12-31,1.66亿,2911万,3922万,9800万,33.4亿
上海凤凰,2018-12-31,1.02亿,-158万,2609万,7715万,7.62亿
上海凤凰,2017-12-31,1.22亿,1027万,3353万,7779万,14.3亿
上海凤凰,2016-12-31,9696万,-366万,3087万,6975万,6.30亿
华贸物流,2018-12-31,6.74亿,-280万,4.40亿,2.37亿,94.5亿
华贸物流,2017-12-31,6.15亿,927万,3.91亿,2.14亿,87.2亿
华贸物流,2016-12-31,5.67亿,821万,3.53亿,2.06亿,73.1亿
神奇制药,2018-12-31,9.48亿,778万,8.25亿,1.15亿,18.5亿
神奇制药,2017-12-31,8.34亿,1198万,7.24亿,9803万,17.4亿
神奇制药,2016-12-31,8.25亿,376万,7.08亿,1.13亿,16.0亿
至纯科技,2018-12-31,9078万,2103万,1866万,5109万,6.74亿
至纯科技,2017-12-31,5961万,1712万,737万,3512万,3.69亿
至纯科技,2016-12-31,4556万,425万,687万,3443万,2.63亿
置信电气,2018-12-31,5.34亿,6959万,2.38亿,2.27亿,49.3亿
置信电气,2017-12-31,4.70亿,4622万,2.21亿,2.03亿,57.3亿
置信电气,2016-12-31,6.11亿,6832万,1.92亿,3.51亿,69.9亿
数据港,2018-12-31,8742万,2398万,399万,5944万,9.10亿
数据港,2017-12-31,5299万,1692万,211万,3396万,5.20亿
数据港,2016-12-31,7438万,2511万,--,4927万,4.06亿
艾艾精工,2018-12-31,3271万,-364万,1905万,1731万,1.88亿
艾艾精工,2017-12-31,3384万,65.7万,1679万,1639万,1.55亿
艾艾精工,2016-12-31,3547万,-138万,1432万,2254万,1.49亿
移为通信,2018-12-31,3440万,-1945万,3344万,2042万,4.76亿
移为通信,2017-12-31,4959万,771万,1899万,2288万,3.62亿
移为通信,2016-12-31,5726万,-878万,1634万,4970万,2.70亿
力盛赛车,2018-12-31,4249万,56.4万,1117万,3075万,3.75亿
力盛赛车,2017-12-31,3509万,-2.86万,992万,2519万,2.82亿
力盛赛车,2016-12-31,4097万,13.0万,812万,3272万,2.41亿
上海临港,2018-12-31,3.78亿,1.48亿,4112万,1.89亿,19.3亿
上海临港,2017-12-31,2.93亿,8299万,4723万,1.63亿,20.7亿
上海临港,2016-12-31,3.04亿,1.20亿,4147万,1.43亿,18.0亿
中国海诚,2018-12-31,1.81亿,-2472万,1126万,1.94亿,52.3亿
中国海诚,2017-12-31,1.90亿,322万,1151万,1.75亿,42.0亿
中国海诚,2016-12-31,1.95亿,-2428万,1050万,2.09亿,44.7亿
华丽家族,2018-12-31,2.44亿,6151万,7572万,1.07亿,3.87亿
华丽家族,2017-12-31,1.93亿,3829万,2980万,1.25亿,21.1亿
华丽家族,2016-12-31,1.67亿,-597万,3633万,1.37亿,9.60亿
新通联,2018-12-31,7983万,197万,2762万,5024万,6.65亿
新通联,2017-12-31,7816万,66.1万,2656万,5094万,5.99亿
新通联,2016-12-31,6496万,-199万,2048万,4646万,4.82亿
广电电气,2018-12-31,1.79亿,-1004万,6445万,1.25亿,5.96亿
广电电气,2017-12-31,1.77亿,-205万,7128万,1.08亿,6.45亿
广电电气,2016-12-31,2.85亿,-219万,7321万,2.14亿,6.87亿
汇得科技,2018-12-31,9410万,-4.39万,4187万,5227万,15.9亿
汇得科技,2017-12-31,9372万,350万,4418万,4604万,14.3亿
汇得科技,2016-12-31,1.43亿,217万,4303万,9790万,11.7亿
东方明珠,2018-12-31,15.5亿,-1.36亿,7.58亿,9.26亿,136亿
东方明珠,2017-12-31,17.1亿,-5547万,8.07亿,9.54亿,163亿
东方明珠,2016-12-31,20.8亿,-6286万,9.45亿,12.0亿,194亿
国投资本,2018-12-31,45.1亿,2.56亿,--,42.5亿,105亿
国投资本,2017-12-31,45.0亿,2.24亿,--,42.8亿,103亿
国投资本,2016-12-31,42.4亿,-142万,--,42.4亿,107亿
华东电脑,2018-12-31,5.09亿,-694万,3.45亿,1.71亿,73.0亿
华东电脑,2017-12-31,4.46亿,56.0万,2.76亿,1.69亿,66.0亿
华东电脑,2016-12-31,6.91亿,1191万,2.71亿,4.08亿,60.6亿
创力集团,2018-12-31,2.63亿,1589万,1.64亿,8338万,16.1亿
创力集团,2017-12-31,2.16亿,1250万,1.32亿,7115万,12.5亿
创力集团,2016-12-31,1.80亿,243万,7117万,1.06亿,9.01亿
晶华新材,2018-12-31,1.03亿,1065万,3863万,5325万,8.81亿
晶华新材,2017-12-31,8767万,824万,3361万,4582万,7.28亿
晶华新材,2016-12-31,1.05亿,468万,3182万,6809万,6.57亿
永冠新材,2018-12-31,7263万,-30.8万,4778万,2516万,17.0亿
永冠新材,2017-12-31,9842万,2383万,4981万,2477万,14.1亿
永冠新材,2016-12-31,5963万,-336万,4049万,2250万,9.93亿
华虹计通,2018-12-31,3503万,39.5万,291万,3173万,2.07亿
华虹计通,2017-12-31,3471万,17.9万,263万,3190万,2.24亿
华虹计通,2016-12-31,4310万,-116万,324万,4103万,1.34亿
上海梅林,2018-12-31,23.6亿,3760万,16.3亿,6.93亿,222亿
上海梅林,2017-12-31,23.9亿,1.22亿,16.1亿,6.51亿,222亿
上海梅林,2016-12-31,15.8亿,2800万,10.9亿,4.61亿,138亿
康旗股份,2018-12-31,6.18亿,1050万,3.98亿,2.10亿,23.1亿
康旗股份,2017-12-31,5.95亿,1779万,4.20亿,1.58亿,19.9亿
康旗股份,2016-12-31,2.73亿,1046万,1.54亿,1.09亿,10.0亿
开能健康,2018-12-31,2.67亿,823万,1.30亿,1.28亿,9.01亿
开能健康,2017-12-31,2.13亿,1574万,9222万,1.05亿,7.08亿
开能健康,2016-12-31,1.48亿,-585万,5712万,9671万,6.43亿
来伊份,2018-12-31,17.0亿,-584万,12.8亿,4.31亿,38.9亿
来伊份,2017-12-31,14.4亿,-735万,11.1亿,3.39亿,36.4亿
来伊份,2016-12-31,12.7亿,-160万,9.83亿,2.84亿,32.4亿
卫宁健康,2018-12-31,3.27亿,802万,2.01亿,1.18亿,14.4亿
卫宁健康,2017-12-31,2.75亿,394万,1.56亿,1.16亿,12.0亿
卫宁健康,2016-12-31,3.23亿,624万,1.35亿,1.81亿,9.54亿
维宏股份,2018-12-31,5585万,11.3万,2326万,3248万,2.29亿
维宏股份,2017-12-31,4842万,-6.86万,2171万,2677万,1.99亿
维宏股份,2016-12-31,7100万,-131万,1688万,5544万,1.44亿
上海物贸,2018-12-31,3.32亿,623万,1.13亿,2.13亿,61.8亿
上海物贸,2017-12-31,3.27亿,1164万,1.12亿,2.03亿,61.0亿
上海物贸,2016-12-31,3.56亿,3974万,1.04亿,2.12亿,164亿
国泰君安,2018-12-31,--,--,--,--,227亿
国泰君安,2017-12-31,--,--,--,--,238亿
国泰君安,2016-12-31,--,--,--,--,258亿
上海三毛,2018-12-31,9404万,340万,3917万,5148万,13.8亿
上海三毛,2017-12-31,9798万,-358万,4072万,6084万,12.8亿
上海三毛,2016-12-31,1.14亿,729万,4518万,6184万,11.5亿
宏达矿业,2018-12-31,1.81亿,6145万,318万,1.16亿,26.4亿
宏达矿业,2017-12-31,1.86亿,4847万,2.25万,1.37亿,5.14亿
宏达矿业,2016-12-31,1.52亿,2031万,3.50万,1.32亿,2.54亿
巴安水务,2018-12-31,2.85亿,8321万,9239万,1.09亿,11.0亿
巴安水务,2017-12-31,2.41亿,4486万,6655万,1.29亿,9.10亿
巴安水务,2016-12-31,1.49亿,3591万,3184万,8153万,10.3亿
威派格,2018-12-31,2.66亿,26.4万,1.69亿,9654万,6.52亿
威派格,2017-12-31,2.52亿,79.8万,1.62亿,8888万,5.93亿
威派格,2016-12-31,2.16亿,-3.48万,1.38亿,7780万,5.24亿
新华传媒,2018-12-31,4.66亿,-5530万,4.11亿,1.11亿,13.9亿
新华传媒,2017-12-31,4.56亿,-7704万,4.18亿,1.15亿,14.3亿
新华传媒,2016-12-31,4.76亿,-8000万,4.35亿,1.21亿,15.2亿
爱建集团,2018-12-31,8.22亿,1.24亿,721万,6.91亿,26.5亿
爱建集团,2017-12-31,7.05亿,1.15亿,1232万,5.77亿,23.3亿
爱建集团,2016-12-31,5.45亿,6736万,713万,4.70亿,16.0亿
光明地产,2018-12-31,16.5亿,4.74亿,5.20亿,6.61亿,205亿
光明地产,2017-12-31,13.4亿,3.31亿,4.79亿,5.26亿,208亿
光明地产,2016-12-31,12.5亿,3.33亿,4.80亿,4.37亿,208亿
龙头股份,2018-12-31,10.3亿,2174万,7.72亿,2.32亿,43.6亿
龙头股份,2017-12-31,9.59亿,1028万,7.34亿,2.15亿,44.2亿
龙头股份,2016-12-31,8.71亿,1554万,6.29亿,2.26亿,42.5亿
上海瀚讯,2018-12-31,8266万,417万,3229万,4620万,4.26亿
上海瀚讯,2017-12-31,6568万,126万,2441万,4001万,3.86亿
上海瀚讯,2016-12-31,5120万,-21.1万,1875万,3266万,3.68亿
天宸股份,2018-12-31,4135万,-280万,--,4415万,4882万
天宸股份,2017-12-31,4656万,-274万,--,4930万,5121万
天宸股份,2016-12-31,4914万,-451万,155万,5209万,4840万
中远海能,2018-12-31,19.9亿,12.1亿,2280万,7.48亿,123亿
中远海能,2017-12-31,12.7亿,5.98亿,2921万,6.45亿,97.8亿
中远海能,2016-12-31,19.3亿,11.1亿,5712万,7.62亿,132亿
二三四五,2018-12-31,9.98亿,-2412万,8.05亿,2.17亿,37.7亿
二三四五,2017-12-31,6.07亿,-7526万,5.61亿,1.21亿,32.0亿
二三四五,2016-12-31,7.44亿,-8182万,5.01亿,3.25亿,17.4亿
纳尔股份,2018-12-31,4802万,-1010万,2477万,3335万,7.89亿
纳尔股份,2017-12-31,6000万,923万,2187万,2890万,6.43亿
纳尔股份,2016-12-31,5952万,-1034万,1791万,5195万,5.49亿
安信信托,2018-12-31,--,--,--,--,2.05亿
安信信托,2017-12-31,--,--,--,--,55.9亿
安信信托,2016-12-31,--,--,--,--,52.5亿
申达股份,2018-12-31,15.4亿,1.93亿,4.08亿,9.37亿,163亿
申达股份,2017-12-31,10.2亿,9250万,3.44亿,5.83亿,111亿
申达股份,2016-12-31,7.78亿,1892万,2.96亿,4.63亿,86.8亿
张江高科,2018-12-31,3.11亿,2.24亿,3272万,5437万,11.5亿
