公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
民和股份,2016-12-31,1.87亿,4140万,4166万,1.04亿,14.1亿
未名医药,2018-12-31,5.63亿,4807万,3.95亿,1.20亿,6.65亿
未名医药,2017-12-31,4.61亿,-493万,3.89亿,7655万,11.6亿
未名医药,2016-12-31,5.22亿,-615万,4.09亿,1.19亿,12.6亿
蓝帆医疗,2018-12-31,5.50亿,2820万,3.60亿,1.62亿,26.5亿
蓝帆医疗,2017-12-31,1.66亿,2318万,6115万,8130万,15.8亿
蓝帆医疗,2016-12-31,1.31亿,-2114万,5048万,1.01亿,12.9亿
益生股份,2018-12-31,1.48亿,2766万,3531万,8485万,14.7亿
益生股份,2017-12-31,1.34亿,1623万,3152万,8594万,6.56亿
益生股份,2016-12-31,1.43亿,2704万,3044万,8521万,16.1亿
海联金汇,2018-12-31,4.41亿,-3929万,1.47亿,3.34亿,50.1亿
海联金汇,2017-12-31,4.59亿,-4427万,1.41亿,3.62亿,40.0亿
海联金汇,2016-12-31,3.47亿,1310万,8859万,2.45亿,26.3亿
浪潮信息,2018-12-31,22.3亿,4.24亿,12.3亿,5.77亿,469亿
浪潮信息,2017-12-31,12.8亿,2.17亿,7.94亿,2.72亿,255亿
浪潮信息,2016-12-31,12.6亿,1.14亿,5.80亿,5.69亿,127亿
三维工程,2018-12-31,5862万,-448万,2563万,3747万,5.23亿
三维工程,2017-12-31,5835万,-643万,3531万,2947万,7.54亿
三维工程,2016-12-31,6168万,-844万,2022万,4990万,3.51亿
青农商行,2018-12-31,--,--,--,--,74.6亿
青农商行,2017-12-31,--,--,--,--,60.8亿
青农商行,2016-12-31,--,--,--,--,58.3亿
东港股份,2018-12-31,2.12亿,-696万,1.17亿,1.02亿,15.5亿
东港股份,2017-12-31,2.27亿,-91.7万,1.21亿,1.06亿,14.3亿
东港股份,2016-12-31,3.26亿,-64.6万,1.21亿,2.05亿,14.9亿
精准信息,2018-12-31,9712万,-444万,4372万,5783万,4.46亿
精准信息,2017-12-31,7133万,-635万,2988万,4780万,4.23亿
精准信息,2016-12-31,8063万,-537万,2737万,5863万,2.30亿
ST地矿,2018-12-31,4.45亿,2.47亿,4769万,1.49亿,30.7亿
ST地矿,2017-12-31,4.16亿,2.02亿,6141万,1.53亿,14.3亿
ST地矿,2016-12-31,4.19亿,1.87亿,6906万,1.63亿,22.2亿
赛托生物,2018-12-31,9999万,2307万,997万,6695万,10.5亿
赛托生物,2017-12-31,5980万,838万,1119万,4023万,7.86亿
赛托生物,2016-12-31,6980万,1442万,600万,4939万,5.68亿
中润资源,2018-12-31,1.18亿,3106万,885万,7766万,4.96亿
中润资源,2017-12-31,2.07亿,8978万,1590万,1.01亿,7.69亿
中润资源,2016-12-31,1.28亿,815万,1750万,1.02亿,8.12亿
鼎信通讯,2018-12-31,4.67亿,985万,3.16亿,1.42亿,17.4亿
鼎信通讯,2017-12-31,3.92亿,-543万,2.77亿,1.20亿,15.1亿
鼎信通讯,2016-12-31,5.71亿,-110万,3.21亿,2.51亿,13.9亿
国恩股份,2018-12-31,1.62亿,3540万,5765万,6916万,37.2亿
国恩股份,2017-12-31,1.22亿,3019万,4532万,4622万,20.5亿
国恩股份,2016-12-31,1.08亿,882万,2898万,6980万,12.8亿
青岛港,2018-12-31,3.23亿,-1.80亿,2104万,4.82亿,117亿
青岛港,2017-12-31,4.43亿,-5983万,1611万,4.86亿,101亿
青岛港,2016-12-31,5.26亿,-1.25亿,1651万,6.35亿,86.8亿
克劳斯,2018-12-31,23.6亿,1.82亿,16.4亿,5.37亿,113亿
克劳斯,2017-12-31,22.2亿,1.20亿,15.9亿,5.15亿,109亿
克劳斯,2016-12-31,1.16亿,1409万,2502万,7691万,4.82亿
青岛银行,2018-12-31,--,--,--,--,73.7亿
青岛银行,2017-12-31,--,--,--,--,55.8亿
青岛银行,2016-12-31,--,--,--,--,60.2亿
潍柴重机,2018-12-31,1.83亿,-437万,1.03亿,8405万,23.7亿
潍柴重机,2017-12-31,1.61亿,-359万,9617万,6850万,19.8亿
潍柴重机,2016-12-31,2.45亿,-864万,8140万,1.72亿,17.4亿
登海种业,2018-12-31,2.22亿,-229万,1.16亿,1.08亿,7.61亿
登海种业,2017-12-31,2.23亿,-276万,1.26亿,9963万,8.04亿
登海种业,2016-12-31,3.42亿,-288万,1.51亿,1.94亿,16.0亿
渤海汽车,2018-12-31,3.35亿,4673万,1.20亿,1.69亿,38.8亿
渤海汽车,2017-12-31,2.52亿,4851万,1.01亿,1.02亿,25.0亿
渤海汽车,2016-12-31,2.52亿,2502万,8168万,1.45亿,17.7亿
青岛双星,2018-12-31,5.44亿,1.20亿,2.54亿,1.71亿,37.5亿
青岛双星,2017-12-31,5.08亿,9826万,2.70亿,1.40亿,40.0亿
青岛双星,2016-12-31,6.25亿,6676万,2.86亿,2.72亿,49.3亿
国瓷材料,2018-12-31,2.06亿,2631万,8073万,9881万,18.0亿
国瓷材料,2017-12-31,1.22亿,2251万,3618万,6289万,12.2亿
国瓷材料,2016-12-31,1.01亿,-1268万,2629万,8742万,6.84亿
瑞茂通,2018-12-31,25.9亿,6.80亿,16.3亿,2.78亿,381亿
瑞茂通,2017-12-31,21.0亿,6.24亿,12.2亿,2.51亿,375亿
瑞茂通,2016-12-31,15.9亿,4.93亿,8.79亿,2.22亿,212亿
世纪天鸿,2018-12-31,6768万,-111万,4321万,2559万,3.81亿
世纪天鸿,2017-12-31,7136万,-89.2万,4763万,2462万,3.81亿
世纪天鸿,2016-12-31,7101万,34.1万,4759万,2308万,3.80亿
山东矿机,2018-12-31,1.83亿,440万,1.11亿,6759万,18.7亿
山东矿机,2017-12-31,1.51亿,1213万,7988万,5889万,13.8亿
山东矿机,2016-12-31,1.70亿,2514万,5342万,9120万,8.57亿
金正大,2018-12-31,22.1亿,1089万,17.1亿,4.85亿,155亿
金正大,2017-12-31,18.2亿,-829万,14.6亿,3.77亿,198亿
金正大,2016-12-31,19.0亿,-4002万,10.2亿,9.27亿,187亿
如意集团,2018-12-31,1.89亿,5569万,5720万,7639万,13.3亿
如意集团,2017-12-31,1.69亿,4502万,5747万,6655万,11.9亿
如意集团,2016-12-31,1.75亿,4402万,5208万,7894万,10.7亿
美晨生态,2018-12-31,5.59亿,1.88亿,1.71亿,2.00亿,34.9亿
美晨生态,2017-12-31,4.37亿,1.24亿,1.58亿,1.55亿,38.9亿
美晨生态,2016-12-31,4.21亿,6670万,1.17亿,2.37亿,29.5亿
鲁亿通,2018-12-31,4.25亿,1483万,1.07亿,3.03亿,30.3亿
鲁亿通,2017-12-31,3505万,-133万,1333万,2305万,2.64亿
鲁亿通,2016-12-31,3909万,22.2万,1363万,2524万,2.33亿
天鹅股份,2018-12-31,8446万,-122万,3374万,5194万,3.32亿
天鹅股份,2017-12-31,6705万,-224万,2644万,4284万,3.07亿
天鹅股份,2016-12-31,8892万,37.9万,2506万,6348万,2.52亿
齐翔腾达,2018-12-31,5.47亿,7162万,1.63亿,3.12亿,279亿
齐翔腾达,2017-12-31,4.36亿,6048万,1.57亿,2.19亿,222亿
