公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
越博动力,2017-12-31,1.00亿,1434万,4007万,4602万,9.00亿
越博动力,2016-12-31,8139万,424万,2681万,5034万,6.54亿
*ST新海,2018-12-31,2.02亿,1.14亿,733万,8058万,7.59亿
*ST新海,2017-12-31,2.10亿,1.23亿,1007万,7688万,16.0亿
*ST新海,2016-12-31,2.16亿,8273万,1804万,1.15亿,19.0亿
永鼎股份,2018-12-31,2.93亿,2448万,1.08亿,1.60亿,32.2亿
永鼎股份,2017-12-31,2.69亿,4677万,9128万,1.31亿,28.7亿
永鼎股份,2016-12-31,2.30亿,-61.6万,7627万,1.55亿,25.8亿
奥联电子,2018-12-31,5672万,48.1万,2511万,3113万,3.49亿
奥联电子,2017-12-31,6048万,-15.7万,2785万,3278万,3.95亿
奥联电子,2016-12-31,7361万,41.4万,2145万,5174万,3.26亿
通用股份,2018-12-31,2.58亿,-130万,1.67亿,9169万,38.5亿
通用股份,2017-12-31,2.57亿,282万,1.64亿,9019万,37.7亿
通用股份,2016-12-31,3.46亿,2032万,1.40亿,1.86亿,33.6亿
朗新科技,2018-12-31,3.16亿,-504万,1.23亿,1.98亿,10.2亿
朗新科技,2017-12-31,2.14亿,-429万,8884万,1.29亿,7.83亿
朗新科技,2016-12-31,2.50亿,-443万,6906万,1.85亿,7.50亿
立霸股份,2018-12-31,4303万,-231万,3564万,970万,12.8亿
立霸股份,2017-12-31,5269万,839万,3458万,972万,12.2亿
立霸股份,2016-12-31,6105万,-623万,2949万,3779万,8.63亿
通光线缆,2018-12-31,2.24亿,3637万,1.20亿,6736万,16.1亿
通光线缆,2017-12-31,2.23亿,3279万,1.20亿,7043万,15.2亿
通光线缆,2016-12-31,2.94亿,2579万,1.24亿,1.44亿,14.5亿
鹿港文化,2018-12-31,4.69亿,1.51亿,1.66亿,1.52亿,47.8亿
鹿港文化,2017-12-31,3.98亿,1.03亿,1.41亿,1.54亿,41.1亿
鹿港文化,2016-12-31,3.48亿,5691万,1.19亿,1.73亿,35.9亿
聚灿光电,2018-12-31,1.05亿,4899万,862万,4727万,5.59亿
聚灿光电,2017-12-31,4776万,714万,1115万,2947万,6.21亿
聚灿光电,2016-12-31,5702万,919万,938万,3845万,4.80亿
扬杰科技,2018-12-31,2.07亿,202万,8249万,1.22亿,18.5亿
扬杰科技,2017-12-31,1.79亿,1554万,6392万,9972万,14.7亿
扬杰科技,2016-12-31,1.83亿,-670万,4973万,1.40亿,11.9亿
罗博特科,2018-12-31,3842万,-52.9万,1817万,2078万,6.59亿
罗博特科,2017-12-31,4177万,140万,1906万,2132万,4.29亿
罗博特科,2016-12-31,3602万,51.6万,1034万,2516万,2.97亿
天瑞仪器,2018-12-31,2.46亿,-445万,1.69亿,8164万,10.2亿
天瑞仪器,2017-12-31,1.82亿,-1727万,1.28亿,7105万,7.92亿
天瑞仪器,2016-12-31,1.62亿,-2724万,1.03亿,8619万,4.30亿
神宇股份,2018-12-31,2567万,97.8万,798万,1671万,3.70亿
神宇股份,2017-12-31,2381万,277万,764万,1339万,3.24亿
神宇股份,2016-12-31,3841万,153万,591万,3096万,3.12亿
江苏神通,2018-12-31,1.92亿,1439万,1.12亿,6562万,10.9亿
江苏神通,2017-12-31,1.46亿,1018万,7478万,6057万,7.56亿
江苏神通,2016-12-31,1.72亿,1198万,6214万,9748万,6.00亿
富瑞特装,2018-12-31,2.65亿,5955万,9193万,1.14亿,14.5亿
富瑞特装,2017-12-31,3.13亿,7145万,1.02亿,1.40亿,17.5亿
富瑞特装,2016-12-31,3.41亿,4807万,9900万,1.94亿,8.87亿
连云港,2018-12-31,3.79亿,1.73亿,--,2.06亿,13.2亿
连云港,2017-12-31,3.65亿,1.56亿,--,2.09亿,13.1亿
连云港,2016-12-31,3.43亿,1.15亿,--,2.28亿,11.7亿
德尔未来,2018-12-31,3.59亿,-1243万,2.44亿,1.27亿,17.7亿
德尔未来,2017-12-31,3.05亿,325万,2.18亿,8359万,16.0亿
德尔未来,2016-12-31,2.16亿,-37.6万,1.49亿,6758万,11.3亿
迈为股份,2018-12-31,9125万,-343万,5429万,4039万,7.88亿
迈为股份,2017-12-31,7925万,1902万,3318万,2705万,4.76亿
迈为股份,2016-12-31,5442万,-375万,2974万,2843万,3.45亿
和顺电气,2018-12-31,8701万,776万,4806万,3119万,7.55亿
和顺电气,2017-12-31,7062万,97.1万,4043万,2922万,5.43亿
和顺电气,2016-12-31,8253万,-191万,2982万,5462万,4.07亿
苏州高新,2018-12-31,6.81亿,2.01亿,2.44亿,2.36亿,72.8亿
苏州高新,2017-12-31,7.39亿,2.77亿,2.39亿,2.24亿,62.4亿
苏州高新,2016-12-31,7.10亿,3.39亿,2.02亿,1.69亿,55.8亿
华西股份,2018-12-31,5.64亿,3.94亿,3539万,1.35亿,29.3亿
华西股份,2017-12-31,3.53亿,2.04亿,3564万,1.13亿,28.4亿
华西股份,2016-12-31,2.38亿,6511万,3300万,1.40亿,21.3亿
法 尔 胜,2018-12-31,1.51亿,8965万,48.9万,6088万,17.0亿
