数据库工程师,5-10年,大专,全职,未融资,西安,10k-15k,Huatek
java开发工程师,3-5年,本科,全职,未融资,西安,10k-15k,西安策普
高级JAVA开发工程师,5-10年,本科,全职,上市公司,西安,16k-25k,Yeahmobi
销售精英-西安-00511,1-3年,大专,全职,B轮,西安,8k-10k,领健信息
电话客服,不限,不限,全职,未融资,西安,3k-6k,云收网络
硬件电路设计工程师,1-3年,本科,全职,不需要融资,西安,6k-12k,大宽物联
php开发工程师,3-5年,大专,全职,D轮及以上,西安,10k-20k,优信集团
销售主管,不限,大专,全职,上市公司,西安,15k-30k,中国人寿西安分公司
软件工程师,应届毕业生,本科,全职,未融资,西安,4k-6k,Huatek
产品经理,3-5年,本科,全职,上市公司,西安,13k-24k,Yeahmobi
PHP开发工程师,1-3年,本科,全职,上市公司,西安,7k-10k,联络互动
中高级JAVA开发,5-10年,本科,全职,不需要融资,西安,9k-18k,通力互联
普通操作工,不限,不限,全职,未融资,西安,2k-4k,西安郑铁施封锁有限责任公司
技术支持/售前工程师,不限,大专,全职,不需要融资,西安,6k-12k,鼎蓝通信
采购员,1-3年,大专,全职,未融资,西安,4k-6k,陕西天润生物
宠物在线顾问网络营销,1-3年,大专,全职,不需要融资,西安,4k-7k,纳千商贸
信息流优化主管,3-5年,大专,全职,未融资,西安,5k-8k,陕西网誉
宣传专员,1-3年,大专,全职,未融资,西安,4k-6k,熙淳智慧档案
大数据实习生（转行可投）,不限,大专,全职,未融资,西安,2k-4k,云收网络
经理助理,不限,不限,全职,上市公司,西安,2k-4k,中国人寿西安分公司
java开发工程师,1-3年,大专,全职,未融资,西安,6k-10k,Huatek
海外商务,1-3年,本科,全职,上市公司,西安,6k-10k,Yeahmobi
H5前端开发工程师,不限,大专,全职,上市公司,西安,7k-10k,联络互动
招中高级PHP,3-5年,不限,全职,不需要融资,西安,8k-16k,通力互联
售前技术支持/售前咨询,不限,大专,全职,不需要融资,西安,6k-12k,鼎蓝通信
区域经理,1-3年,本科,全职,未融资,西安,5k-7k,陕西天润生物
宠物顾问在线销售/爱宠聚集地,1-3年,大专,全职,不需要融资,西安,5k-8k,纳千商贸
node.js后端开发工程师,1-3年,大专,全职,未融资,西安,6k-12k,节点旅行
主播艺人,不限,不限,全职,不需要融资,西安,8k-12k,追逐传媒
新渠道营销实习生,不限,本科,全职,上市公司,西安,4k-6k,中国平安人寿保险公司
在线客服专员,1年以下,不限,全职,不需要融资,西安,6k-12k,广州星空彩
前端开发工程师,3-5年,本科,全职,未融资,西安,8k-12k,比安缇科技
店长,1-3年,大专,全职,不需要融资,西安,4k-6k,谊品
实习生,不限,不限,实习,上市公司,西安,2k-4k,中国人寿西安分公司
it运维,3-5年,大专,全职,未融资,西安,8k-10k,Huatek
高级大数据运维,3-5年,本科,全职,上市公司,西安,16k-26k,Yeahmobi
游戏开发工程师,不限,大专,全职,上市公司,西安,6k-8k,联络互动
项目经理：运筹帷幄，掌控全局,3-5年,不限,全职,不需要融资,西安,8k-16k,通力互联
