上海梅陇城市建设投资发展有限公司,2019年梅陇镇镇级道路中修工程-罗锦路西段（梅陇西路-莲花南路）,罗锦路西段（梅陇西路-莲花南路）,红阳建工集团有限公司,1164万元,2019-07-04 09:00:00
上海市嘉定区公路管理所,浏翔公路下行（宝钱公路-斜泾桥）养护维修工程,上海市嘉定区浏翔公路下行（宝钱公路-斜泾桥）,"上海基安建筑工程有限公司,同济大学建筑设计研究院（集团）有限公司",2972万元,2019-09-06 09:30:00
上海浦东工程建设管理有限公司,杨高中路（世纪大道-罗山路）合杆整治工程,杨高中路（世纪大道-罗山路）；南洋泾路（杨高中路-灵山路）,上海市浦东新区建设（集团）有限公司,4349万元,2019-09-16 10:00:00
上海市青浦区水利管理所,青浦区朱家角镇2019年中小河道综合整治工程（林家村、建新村等）,朱家角镇,上海青浦赵巷建筑工程有限公司,769万元,2019-09-10 14:00:00
上海临港欣创经济发展有限公司,新建生产流转用房二期项目,上海市奉贤区岚丰路850弄,上海建工五建集团有限公司,26929万元,2019-09-23 10:00:00
上海市浦东新区公路管理署,申江南路（下盐路—沪南公路）、军民公路（申江路-康桥东路）道路及排水管道养护维修工程,申江南路（下盐路—沪南公路）、军民公路（申江路-康桥东路）等,中土大地国际建筑设计有限公司,142万元,2019-09-10 09:30:00
上海市公安局浦东分局,上海市公安局浦东分局梅园新村派出所迁建工程,上海市浦东新区梅园社区C000102单元10-03地块,上海市建工设计研究总院有限公司,134万元,2019-09-11 09:30:00
上海市黄浦区教育局校产管理站,上海市向明初级中学校舍加固及修缮工程,巨鹿路334号,深圳市中深装建设集团有限公司,2020万元,2019-09-16 09:30:00
上海市崇明区建设镇人民政府,2019年建设镇富安村乡村振兴示范村建设,建设镇富安村,上海朕杨建筑工程有限公司,920万元,2019-09-16 14:00:00
上海市青浦区机关事务管理局,青浦区夏阳市场监督管理所等单位业务用房维修工程,青松路175号,上海奔禹建设发展有限公司,665万元,2019-09-17 14:00:00
上海浦东康桥（集团）有限公司,代建逸思医疗厂房项目（园区平台项目）,上海市浦东新区基地东至苗桥路西至地块红线南至康威路北至八灶港,上海建工五建集团有限公司,21777万元,2019-09-11 09:30:00
