存储工程师（集成1905）,北京南天软件有限公司,0.8-1.5万/月,北京-西城区|5-7年经验|本科|招1人|05-14发布,五险一金|定期体检|年终奖金|带薪年假|节日福利|弹性工作
python开发工程师,杭州迪普科技股份有限公司,10-20万/年,北京-海淀区|无工作经验|本科|招若干人|05-14发布|英语良好,五险一金|定期体检|弹性工作
网络管理员,杭州迪普科技股份有限公司,0.8-1万/月,北京-海淀区|1年经验|本科|招1人|05-14发布,带薪年假|节日福利|五险一金|加班补贴
SAP FICO/BASIS 顾问,蜀海（北京）供应链管理有限责任公司,1.8-2.5万/月,北京-丰台区|2年经验|本科|招1人|05-14发布,免费班车|交通补贴|通讯补贴|绩效奖金|定期体检|包食宿|节日福利
技术中级,南京华苏科技有限公司,1-1.5万/月,北京-丰台区|3-4年经验|本科|招1人|05-14发布,五险一金|弹性工作|定期体检|通讯补贴|绩效奖金|年终奖金|员工旅游
超融合交付工程师-19141,无锡华云数据技术服务有限公司,1-1.8万/月,北京-朝阳区|3-4年经验|大专|招1人|05-14发布,五险一金|定期体检|绩效奖金|全勤奖|年底双薪|餐补|通讯补贴|带薪年假|节日福利|员工旅游
高级交付工程师-19082,无锡华云数据技术服务有限公司,1.5-3万/月,北京-朝阳区|5-7年经验|大专|招1人|05-14发布,五险一金|定期体检|绩效奖金|全勤奖|年底双薪|餐补|通讯补贴|带薪年假|节日福利|员工旅游
售前工程师,北京兴财信息技术有限责任公司,1.5-2.5万/月,北京-朝阳区|3-4年经验|本科|招若干人|05-13发布,
系统工程师,北京兴财信息技术有限责任公司,0.8-1.5万/月,北京-朝阳区|3-4年经验|本科|招2人|05-13发布,五险一金|通讯补贴|绩效奖金|定期体检|餐饮补贴
有线传输工程师,北京赛威迅通科技有限公司,4-6千/月,北京|无工作经验|招2人|05-13发布,绩效奖金|定期体检
解决方案经理,北京云思畅想科技有限公司,2-3万/月,北京-海淀区|5-7年经验|本科|招1人|05-15发布,五险一金|餐饮补贴|弹性工作|通讯补贴|交通补贴|股票期权|年终奖金
Senior C# Developer,NTT DATA（中国）有限公司,1.2-1.6万/月,北京|5-7年经验|本科|招1人|05-15发布,五险一金|补充医疗保险|补充公积金|绩效奖金
交通行业销售-19136,无锡华云数据技术服务有限公司,2-3万/月,北京-朝阳区|5-7年经验|大专|招2人|05-14发布,五险一金|定期体检|绩效奖金|全勤奖|年底双薪|餐补|通讯补贴|带薪年假|节日福利|员工旅游
华为窄带/宽带语音交换工程师,北京赛威迅通科技有限公司,5-7千/月,北京-朝阳区|3-4年经验|大专|招2人|05-13发布|普通话一般,绩效奖金|员工旅游
