岗位职称,工作经验,学历要求,工作类型,公司发展,工作地点,工资,工作福利,公司名称
高级python工程师,5-10年,本科,全职,不需要融资,北京,18k-30k,"股票期权,绩效奖金",家园网
大数据应用工程师-Python,3-5年,大专,全职,不需要融资,上海,20k-35k,"环境佳,技术强,领导好",上海拿米金服
Python开发工程师,3-5年,本科,全职,B轮,北京,15k-25k,股票期权，五险一金，交补餐补，零食水果,学堂在线
资深Python工程师,3-5年,本科,全职,D轮及以上,上海,18k-25k,主站平台，标配Mac，商业保险,饿了么
美团云Python/Golang工程师,3-5年,本科,全职,D轮及以上,北京,25k-45k,"大平台,福利好,起点高",美团点评
Python软件开发工程师,1-3年,本科,全职,B轮,上海,15k-22k,五险一金、补充公积金、13薪、饭贴,阿基米德fm
高级Python研发工程师,3-5年,本科,全职,不需要融资,北京,25k-35k,"扁平化管理,福利待遇佳,学习氛围好,晋升空间大",掌阅
高级python开发工程师,3-5年,本科,全职,C轮,北京,15k-30k,"弹性工作制,股票期权,行业巨头,地铁周边",会分期
python工程师,1-3年,大专,全职,B轮,武汉,10k-15k,"弹性工时,五险一金,团队牛逼,14薪",推想科技
python工程师,3-5年,本科,全职,B轮,北京,20k-30k,"带薪年假,五险一金,弹性工作,股票期权",好巧
Python开发工程师,3-5年,本科,全职,B轮,深圳,15k-29k,"爬虫,Linux,数据抓取,Redis",猎芯科技
Python工程师,3-5年,本科,全职,B轮,厦门,8k-15k,"高新企业,牛人多,扁平化,五险一金",笨鸟社交
Python,3-5年,本科,全职,上市公司,北京,15k-30k,公司平台、晋升空间,猎豹移动
Python研发工程师,1-3年,本科,全职,B轮,北京,15k-25k,"海外APP,社/公全额,海外团建,工作居住证",LBE 科技
python,3-5年,本科,全职,B轮,北京,18k-30k,"优秀的团队,15薪,半年涨薪,前景明朗",美洽
Python开发工程师,1-3年,硕士,全职,D轮及以上,北京,18k-28k,14薪，12天带薪年假，地铁周边,爱奇艺
