岗位职称,工作经验,学历要求,工作类型,公司发展,工作地点,工资,工作福利,公司名称
java开发工程师,1-3年,本科,全职,上市公司,济南,6k-12k,"五险一金,餐补,节假日福利,带薪年假",信雅达
Java开发工程师,1-3年,本科,全职,上市公司,上海,10k-15k,员工旅游、工作日美味三餐、舒心的工作氛围,泛微
Java开发工程师,3-5年,本科,全职,B轮,北京,15k-25k,"五险一金,餐费补助,丰富的零食,节日福利",Trusfort芯盾时代
JAVA-Hadoop工程师,3-5年,本科,全职,不需要融资,杭州,15k-25k,"老板好,活动多,氛围好,五险一金",达摩网络
java工程师,3-5年,本科,全职,B轮,北京,13k-26k,氛围好、团队年轻、领导能力强,云帐房
java,3-5年,本科,全职,不需要融资,北京,15k-30k,"大平台,帅哥美女多,心情好,挑战与机遇",丽兹行
Java,3-5年,本科,全职,不需要融资,北京,20k-30k,福利待遇优厚，发展前景光明。,复华控股
Java开发工程师,3-5年,本科,全职,不需要融资,上海,9K-18K,13薪+过节福利+行业内的领先者,舟恩信息
Java工程师,3-5年,本科,全职,不需要融资,杭州,15k-30k,"五险一金,节日福利,购房优惠,朝九晚五",筑家易
Java研发工程师,3-5年,本科,全职,C轮,北京,20k-40k,AI独角兽,Face++
java工程师,3-5年,本科,全职,不需要融资,上海,10k-20k,"五险一金,旅游、体检,年会、生日,结婚礼金",江苏亿科达
Java工程师,3-5年,本科,全职,B轮,北京,20k-35k,"六险一金,弹性不打卡,免费午餐,季度旅游",玩吧
java开发,3-5年,本科,全职,不需要融资,杭州,12k-24k,"五险一金,年底双薪,餐补,交通补贴",鑫合汇
Java开发工程师,3-5年,大专,全职,A轮,上海,15K-25K,股权期权、可带宠物上班、团队好,小狗在家
java工程师,3-5年,本科,全职,A轮,北京,20k-30k,丰厚的福利待遇 完善的发展平台,桔子分期
Java开发工程师,5-10年,本科,全职,上市公司,北京,15k-30k,"免费班车,平台广阔",京东商城
Java开发工程师,3-5年,本科,全职,上市公司,贵阳,8k-15k,上市公司,泛微
java,3-5年,本科,全职,不需要融资,北京,20k-30k,"美女多,薪资高,福利好,办公环境好",丽兹行
Java,5-10年,本科,全职,上市公司,北京,15k-30k,"免费班车,平台广阔",京东商城
JAVA,5-10年,大专,全职,C轮,北京,15k-26k,"五险一金,弹性上班点,交通便利",有利网
JAVA,5-10年,本科,全职,B轮,上海,8k-15k,"福利好,领导好",kargocard
Java开发工程师,3-5年,本科,全职,不需要融资,北京,20k-30k,"五险一金,免费三餐,班车接送,环境优美",Tele-info
Java开发工程师,3-5年,本科,全职,不需要融资,苏州,10k-18k,"项目奖金,年终奖金,带薪年假,团建福利",梦嘉信息
Java,3-5年,本科,全职,不需要融资,上海,15k-20k,技术成熟 环境舒适 技术氛围浓 发展空间大,鲁班软件
Java研发工程师,3-5年,本科,全职,C轮,北京,15k-25k,"技术大咖,地铁周边,弹性工作,七险一金",51社保网
Java开发工程师,3-5年,大专,全职,不需要融资,上海,10k-20k,季度奖/年终奖/技术大牛/新办公环境,上海善林金融信息服务有限公司
Java,5-10年,本科,全职,B轮,北京,25k-35k,"团队强悍,待遇优厚,地铁周边",Udesk－企业级智能客服平台
Java开发工程师,5-10年,本科,全职,不需要融资,上海,10k-20k,项目好,神州数码通用软件
Java,3-5年,本科,全职,上市公司,上海,21k-30k,出国培训，跨境电商，不加班，14薪,乐天创研
Java开发,5-10年,本科,全职,未融资,杭州,25k-35k,"薪资优厚,五险一金,餐饮补贴,年终奖",新光供应链
Java开发工程师,1-3年,本科,全职,上市公司,佛山,10k-20k,待遇优 福利全 环境好 行业火-物联网,美的生活电器
java,3-5年,本科,全职,上市公司,上海,13k-18k,员工旅游、工作日美味三餐、舒心的工作氛围,泛微
java开发工程师,3-5年,本科,全职,不需要融资,北京,25k-35k,"团队强悍,地铁周边,扁平管理,各种团建",丽兹行
Java开发工程师,3-5年,本科,全职,不需要融资,北京,15k-20k,nice,复华控股
java开发工程师,3-5年,大专,全职,不需要融资,南京,9k-15k,"金融行业,技术前沿,加班少,小长假多",武汉佰钧成技术有限公司
Java研发工程师,3-5年,本科,全职,上市公司,北京,10k-20k,"上市公司,五险一金,带薪年假,弹性工作制",互动百科
Java工程师,1-3年,本科,全职,不需要融资,洛阳,4k-8k,"五险一金,早九晚六,双休",神州数码通用软件
JAVA开发工程师,5-10年,本科,全职,C轮,北京,15k-30k,"前景广阔,技术大牛多,弹性工作",Face++
Java,3-5年,本科,全职,上市公司,上海,9k-18k,稳定 大平台 金融 氛围好,上海中软华腾软件系统有限公司
Java开发,5-10年,本科,全职,不需要融资,北京,15k-30k,"六险一金,健身",闲徕互娱
Java,3-5年,本科,全职,不需要融资,广州,10k-15k,"周末双休,福利齐全,晋升选择多",广州好易电子
Java,5-10年,本科,全职,不需要融资,上海,15k-25k,"福利健全,薪资优厚,团队好,领导好",上海达欧百希特
JAVA,1-3年,本科,全职,上市公司,上海,12k-20k,个人提升 福利待遇 发展空间 年终奖金 平台,携程
Java,不限,大专,全职,不需要融资,深圳,6k-12k,金融项目 福利好 空间大,博悦科创
Java开发,3-5年,本科,全职,不需要融资,上海,9k-15k,"年底双薪,发展空间大,节日福利,带薪年假",舟恩信息
