云方向业务部门_大数据高级工程师,北京思特奇信息技术股份有限公司陕西分公司,1-1.5万/月,西安,3-4年经验,本科,招若干人,05-20发布,五险一金|补充医疗保险|员工旅游|交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金|弹性工作|定期体检
云方向业务部门_大数据技术主管,北京思特奇信息技术股份有限公司陕西分公司,1-2万/月,西安,5-7年经验,本科,招1人,05-20发布,五险一金|补充医疗保险|员工旅游|交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金|定期体检|弹性工作
大数据开发工程师（数据仓库方向）,北京易玖生态环境有限公司,2-3万/月,临汾,3-4年经验,本科,招2人,05-20发布,五险一金|弹性工作|餐饮补贴|交通补贴|绩效奖金|定期体检
项目开发实习生,广州金越软件技术有限公司,1.5-2千/月,西安-高新技术产业开发区,无工作经验,大专,招2人,04-23发布,
Hadoop开发工程师,西安环太科技发展有限公司,5-8千/月,西安-高新技术产业开发区,无工作经验,本科,招5人,05-20发布,定期体检|员工旅游|员工食堂|节日福利|带薪年假|五险
大数据架构师,西安锐特企业管理咨询有限公司,20-50万/月,西安-雁塔区,5-7年经验,本科,招1人,05-10发布,
数据分析工程师,北京东方润泽生态科技股份有限公司,1-1.5万/月,西安,1年经验,本科,招1人,03-21发布,五险一金|补充医疗保险|餐饮补贴|定期体检|绩效奖金|年终奖金|股票期权|弹性工作
新媒体运营专员,西安丽仁行房地产经纪,4-6千/月,西安-未央区,1年经验,大专,招1人,03-22发布,五险一金|餐饮补贴|弹性工作|专业培训|补充医疗保险
金泰店链家总部诚聘房产置业顾问,西安链家总部,6-8千/月,西安-雁塔区,无工作经验,大专,招8人,05-20发布,带薪年假|五险一金|绩效奖金|节日福利|专业培训|加班补贴
金仕华城 链家总部诚聘房产销售,西安链家总部,6-8千/月,西安-未央区,1年经验,大专,招8人,05-20发布,带薪年假|五险一金|绩效奖金|节日福利|专业培训|加班补贴
金桥太阳岛 链家直聘房产经纪人,西安链家总部,6-8千/月,西安-未央区,无工作经验,大专,招8人,05-20发布,带薪年假|五险一金|绩效奖金|节日福利|专业培训|加班补贴
